"suspicious_TLD",tld
true,".top"
true,".xyz"
true,".tk"
true,".ml"
true,".ga"
true,".cf"
true,".gq"
true,".icu"
true,".buzz"
true,".wang"
true,".live"
true,".online"
true,".sbs"
true,".cfd"
true,".support"
true,".bond"
true,".lol"
true,".site"
true,".shop"
true,".info"
true,".cn"
true,".ru"
true,".es"
true,".su"
true,".pw"
true,".me"
true,".work"
true,".club"
true,".zip"
true,".mov"
true,".life"
true,".digital"
true,".guru"
true,".pics"
true,".finance"
true,".pro"
true,".space"
true,".monster"
true,".do"
true,".best"
true,".quest"
true,".link"
true,".stream"
true,".review"
true,".date"
true,".men"
true,".cam"
true,".kim"
true,".click"
true,".fit"
true,".host"
true,".asia"
